;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;
;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;
;July 2019 To April 2020;;;;;;;;;;;;
;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;Total
;;;;;;;;;;;;;
;CPAsep-Jalapeno;15kg CP Aseptic Jalapeno Pure;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,527.08;$0.00;$1,527.08
;CPAsep-Nectarine200;200kg CP Aseptic Nectarine Pur;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,795.97;$1,480.47;$0.00;$0.00;$5,276.44
;CPAsep-Peach200;200kg CP Aseptic Peach Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,428.89;$0.00;$0.00;$0.00;$3,428.89
;CPAsep-Plum200;200kg CP Aseptic Plum Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,426.14;$0.00;$0.00;$0.00;$1,426.14
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$2.93;$0.07;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3.00
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$3.07;$0.21;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3.28
;CPLPG-BNutConv;Crate 14kg C&Wrap Butternut;$13,224.51;$5,334.90;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$18,559.41
;CPLPG-BNutCrescent;Crate 6 x 500g Butternut Cresc;$12,632.03;$4,885.72;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$17,517.75
;CPLPG-KentConv;Crate 14kg C&W Kent;$13,463.68;$4,314.47;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$17,778.15
;CPLPG-KentCrescent;Crate 6 x 500g Kent Crescent;$5,364.25;$3,342.44;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$8,706.69
;CPLPG-Rework;Rework of LPG stock ...;$259.45;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$259.45
;CPLPG-WarragoldConv;Crate 14kg C&Wrap Warragold;$9,218.06;$4,033.31;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$13,251.37
;Ezy001;Raw Butternut Pumpkin;$347.89;$33.00;$1,951.60;$1,575.84;$19.31;$10,787.53;($2,636.90);$0.00;$1,835.74;$0.00;$13,914.01
;Ezy0011;Box 12x1kg Pumpkin  Puree Froz;$0.00;$0.00;$0.00;$57.33;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$57.33
;Ezy001-Butternut (CP);Butternut Pumpkin LARGE for CP;$1,251.08;$6,458.77;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$7,709.85
