;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period];;;;;;;;;;;;;;
;July 2017 To June 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;Adjustment / Rebate;Adjustment Note or Rebate;$4,500.81;($149.31);$0.00;($3,229.65);($782.23);($1,623.81);$218.37;($3,733.31);$228.58;($1,293.07);$186.12;($159.50);($5,837.00)
;CPFBF-Boysenberry200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,140.48;$1,140.48
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,244.16;$1,244.16
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,969.92;$1,969.92
;CPLPG-Aldicut&wrap;Crate 13kg Cut & Wrap Pumpkin;$0.00;$0.00;$0.00;$2,217.40;$49,956.68;$55,620.54;$55,646.33;$92,310.88;$112,764.47;$95,493.58;$107,343.21;$0.00;$571,353.09
;CPLPG-BNut700Box;Box 8x700g Butternut Diced Chi;$0.00;$0.00;$0.00;$1,112.16;$741.44;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,853.60
;CPLPG-BNutColesC&W;Crate 14kg Cut & S Wrap Butter;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,098.25;$9,157.05;$8,888.34;$21,143.64
;CPLPG-Kent700Box;Box 8x700g Kent Pieces Chilled;$0.00;$0.00;$0.00;$1,429.92;$820.88;$0.00;$0.00;$0.00;$0.00;$964.80;$0.00;$0.00;$3,215.60
;CPLPG-KentColesC&W;Crate 14kg Cut & S Wrap Kent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,941.56;$80.44;$0.00;$4,022.00
;CPPowd-Prune;Cana Corp FD Prune Powder;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$23,058.00;$0.00;$0.00;$23,058.00
;Debtor-Offset;CP Debtor Offset;$0.00;$0.00;$0.00;($468.48);($287.92);$0.00;$0.00;$0.00;$0.00;($146.18);$0.00;$0.00;($902.58)
;DisebProcessing;10kg Diseb Processed Spinach;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,136.70;$1,585.20;$2,721.90
;Ezy0068-BNutC&W;CP Label Butternut C&W;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2.70;$2.26;$4.96
