;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;
;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period];;;;;;;;;;;;
;July 2019 To April 2020;;;;;;;;;;;;
;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;Total
;;;;;;;;;;;;;
;Adjustment / Rebate;Adjustment Note or Rebate;($1.58);($286.72);($574.00);($1,059.11);$0.00;($1,560.14);($1,882.66);($3,762.00);($1,845.00);$0.00;($10,971.21)
;BIO-ORG Chicken Stock;Box Bio Bambino ORG ChickStock;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$806.54;$0.00;$0.00;$0.00;$806.54
;Cash Receipt;Cash Receipt;$0.00;$0.00;$0.00;($450.00);$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($450.00)
;CPAsep-Jalapeno;15kg CP Aseptic Jalapeno Pure;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$8,134.50;$0.00;$8,134.50
;CPAsep-Nectarine200;200kg CP Aseptic Nectarine Pur;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$30,780.00;$10,800.00;$0.00;$0.00;$41,580.00
;CPAsep-Peach200;200kg CP Aseptic Peach Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$30,240.00;$0.00;$0.00;$0.00;$30,240.00
;CPAsep-Plum200;200kg CP Aseptic Plum Puree;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$10,800.00;$0.00;$0.00;$0.00;$10,800.00
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$2,903.04;$65.52;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2,968.56
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$3,024.00;$211.68;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,235.68
;CPLPG-BNutConv;Crate 14kg C&Wrap Butternut;$18,367.86;$7,237.15;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$25,605.01
;CPLPG-BNutCrescent;Crate 6 x 500g Butternut Cresc;$20,214.06;$7,690.80;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$27,904.86
;CPLPG-KentConv;Crate 14kg C&W Kent;$21,424.62;$6,532.68;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$27,957.30
;CPLPG-KentCrescent;Crate 6 x 500g Kent Crescent;$13,699.02;$7,726.16;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$21,425.18
;CPLPG-Rework;Rework of LPG stock ...;$1,701.30;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,701.30
;CPLPG-WarragoldConv;Crate 14kg C&Wrap Warragold;$12,931.62;$5,798.28;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$18,729.90
