;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period] - COST OF SALES;;;;;;;;;;;;;;
;July 2017 To June 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;CPFBF-Boysenberry200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1.33;$1.33
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.55;$0.55
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1.03;$1.03
;CPLPG-Aldicut&wrap;Crate 13kg Cut & Wrap Pumpkin;$0.00;$0.00;$0.00;$1,214.96;$26,940.36;$30,161.16;$28,967.84;$42,837.48;$56,339.60;$50,341.89;$56,043.85;$0.00;$292,847.14
;CPLPG-BNut700Box;Box 8x700g Butternut Diced Chi;$0.00;$0.00;$0.00;$270.72;$185.72;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$456.44
;CPLPG-BNutColesC&W;Crate 14kg Cut & S Wrap Butter;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$1,818.70;$5,470.84;$5,240.90;$12,530.44
;CPLPG-Kent700Box;Box 8x700g Kent Pieces Chilled;$0.00;$0.00;$0.00;$2.05;$259.49;$0.00;$0.00;$0.00;$0.00;$438.52;$0.00;$0.00;$700.06
;CPLPG-KentColesC&W;Crate 14kg Cut & S Wrap Kent;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2,267.38;$48.10;$76.52;$2,392.00
;CPPowd-Prune;Cana Corp FD Prune Powder;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$3,780.00;$0.00;$0.00;$3,780.00
;DisebProcessing;10kg Diseb Processed Spinach;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.48;$0.68;$1.16
;Ezy001;Raw Butternut Pumpkin;($0.08);$0.00;$256.96;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($1,412.28);$0.00;$0.01;($1,155.39)
;Ezy001-Butternut (CP);Butternut Pumpkin LARGE for CP;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;($833.91);$0.00;($34.18);$64.88;($803.21)
;Ezy001-Kent (CP);Kent Pumpkin LARGE for CP;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$0.00;$2.43;$0.00;$0.00;$2.43
