;;;;;;;;;;;;;;;
;EZY CHEF PTY LTD;;;;;;;;;;;;;;
;1/140, Northcorp Blvd;;;;;;;;;;;;;;
;Broadmeadows;;;;;;;;;;;;;;
;VIC - 3047;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Analyse Sales [Item Multi-Period];;;;;;;;;;;;;;
;July 2017 To June 2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Item No.;Item Name;July;August;September;October;November;December;January;February;March;April;May;June;Total
;;;;;;;;;;;;;;;
;Adjustment / Rebate;Adjustment Note or Rebate;-9;-47;0;-5;-4;-461;2;-5;-1;-2;1;0;-531
;CPFBF-Boysenberry200g;Box 12 x 200g Fresh Berry Farm;0;0;0;0;0;0;0;0;0;0;0;264;264
;CPFBF-Raspberry200g;Box 12 x 200g Fresh Berry Farm;0;0;0;0;0;0;0;0;0;0;0;288;288
;CPFBF-SummerBerries200g;Box 12 x 200g Fresh Berry Farm;0;0;0;0;0;0;0;0;0;0;0;456;456
;CPLPG-Aldicut&wrap;Crate 13kg Cut & Wrap Pumpkin;0;0;0;125;2794;3110;3179;5387;6569;5542;6229;0;32935
;CPLPG-BNut700Box;Box 8x700g Butternut Diced Chi;0;0;0;42;28;0;0;0;0;0;0;0;70
;CPLPG-BNutColesC&W;Crate 14kg Cut & S Wrap Butter;0;0;0;0;0;0;0;0;0;135;399;353;887
;CPLPG-Kent700Box;Box 8x700g Kent Pieces Chilled;0;0;0;54;31;0;0;0;0;67;0;0;152
;CPLPG-KentColesC&W;Crate 14kg Cut & S Wrap Kent;0;0;0;0;0;0;0;0;0;196;4;6.5;206.5
;CPPowd-Prune;Cana Corp FD Prune Powder;0;0;0;0;0;0;0;0;0;126;0;0;126
;Debtor-Offset;CP Debtor Offset;0;0;0;-192;-118;0;0;0;0;-67;0;0;-377
;DisebProcessing;10kg Diseb Processed Spinach;0;0;0;0;0;0;0;0;0;0;179;130;309
;Ezy0037r;15kg (20Ltr) Aseptic Bag;0;0;2;0;0;0;0;0;0;0;0;0;2
;Ezy0068-BNutC&W;CP Label Butternut C&W;0;0;0;0;0;0;0;0;0;0;600;150;750
;Ezy022;Box 6x2kg Pumpkin Puree Frozen;90;58;66;67;70.33;64;64;52;65.33;102;59;40;797.66
;Ezy022C;Box 6x2kg PumpkinPuree Chilled;0;0;0;0;3;3;0;0;0;0;0;0;6
;Ezy030C;Box 2x6kg PumpkinPuree Chilled;0;0;0;0;6;0;0;0;0;0;0;0;6
;Ezy031;Box 15kg Butternut PumpkinPure;11;0;0;0;0;0;0;0;0;0;0;0;11
;Ezy031-ORG;Box 15kg Organic Pumpkin Puree;0;238;55;192;256;0;6;64;80;80;272;256;1499
;Ezy031-Tempered;Box 15kg Butternut Pumpkin Pur;420;65;0;0;0;105;104;105;105;256;267;116;1543
;Ezy041;Box 6x2kg Potato Mash Frozen;16;12;18;37;13;7;6;12;82.16;73;27;83;386.16
;Ezy041-1kg x 12;Box 12x1kg Potato Mash Seasone;129;212;153;135;232;152;161;80;230;125;80;64;1753
;Ezy041C-LS;Box 2x6kg Low Sodium Potato Ma;366;286;0;343;341;0;185;161;688;230;398;141;3139
